id,SET index,Date
1,1795.21,09-01-18
2,1792.81,08-01-18
3,1795.45,05-01-18
4,1791.02,04-01-18
5,1778.53,03-01-18
6,1753.71,29-12-17
7,1743.29,28-12-17
8,1752.89,27-12-17
9,1752.48,26-12-17
10,1750.22,25-12-17
11,1742.08,22-12-17
12,1736.91,21-12-17
13,1738.16,20-12-17
14,1732.31,19-12-17
15,1723.71,18-12-17
16,1717.69,15-12-17
17,1714.99,14-12-17
18,1706.93,13-12-17
19,1702.17,12-12-17
20,1706.52,08-12-17
21,1703.37,07-12-17
22,1694.39,06-12-17
23,1697.61,04-12-17
24,1699.65,01-12-17
25,1697.39,30-11-17
26,1705.33,29-11-17
27,1706.52,28-11-17
28,1695.67,27-11-17
29,1695.84,24-11-17
30,1707.38,23-11-17
31,1713.13,22-11-17
32,1710.48,21-11-17
33,1714.38,20-11-17
34,1709.38,17-11-17
35,1691.25,16-11-17
36,1690.26,15-11-17
37,1702.63,14-11-17
38,1687.05,13-11-17
39,1689.28,10-11-17
40,1703.03,09-11-17
41,1714.65,08-11-17
42,1712.75,07-11-17
43,1711.74,06-11-17
44,1701.47,03-11-17
45,1701.93,02-11-17
46,1714.55,01-11-17
47,1721.37,31-10-17
48,1718.66,30-10-17
49,1716.03,27-10-17
50,1708.84,25-10-17
51,1701.81,24-10-17
52,1692.58,20-10-17
53,1683.43,19-10-17
54,1707.53,18-10-17
55,1724.47,17-10-17
56,1726.67,16-10-17
57,1712.48,12-10-17
58,1714.14,11-10-17
59,1706.95,10-10-17
60,1692.22,09-10-17
61,1695.97,06-10-17
62,1690.87,05-10-17
63,1687.77,04-10-17
64,1689.97,03-10-17
65,1688.64,02-10-17
66,1673.16,29-09-17
67,1666.36,28-09-17
68,1670.27,27-09-17
69,1669.75,26-09-17
70,1667.59,25-09-17
71,1659.05,22-09-17
72,1670.49,21-09-17
73,1670.65,20-09-17
74,1672.59,19-09-17
75,1670.2,18-09-17
76,1660.53,15-09-17
77,1659.1,14-09-17
78,1642.94,13-09-17
79,1643.55,12-09-17
80,1637.54,11-09-17
81,1635.61,08-09-17
82,1632.66,07-09-17
83,1621.3,06-09-17
84,1620.42,05-09-17
85,1619.11,04-09-17
86,1618.42,01-09-17
87,1616.16,31-08-17
88,1613.34,30-08-17
89,1614.14,29-08-17
90,1585.79,28-08-17
91,1575.85,25-08-17
92,1575.96,24-08-17
93,1573.38,23-08-17
94,1573.19,22-08-17
95,1569.62,21-08-17
96,1566.53,18-08-17
97,1568.95,17-08-17
98,1567.52,16-08-17
99,1567.19,15-08-17
100,1561.31,11-08-17
101,1571.64,10-08-17
102,1571.51,09-08-17
103,1577.44,08-08-17
104,1573.67,07-08-17
105,1578.26,04-08-17
106,1578.25,03-08-17
107,1580.54,02-08-17
108,1576.45,01-08-17
109,1576.08,31-07-17
110,1581.06,27-07-17
111,1583.17,26-07-17
112,1581.42,25-07-17
113,1576.73,24-07-17
114,1573.51,21-07-17
115,1575.28,20-07-17
116,1575.85,19-07-17
117,1571.52,18-07-17
118,1574.09,17-07-17
119,1577.79,14-07-17
120,1579.41,13-07-17
121,1574.93,12-07-17
122,1569.24,11-07-17
1128,1794.92,10-01-18
81914,1802.8,11-01-18
162736,1810.19,12-01-18
162737,1822.66,15-01-18
243646,1821.83,16-01-18
324589,1828.88,17-01-18
405565,1819.32,18-01-18
486573,1821.34,19-01-18
728065,1824.06,22-01-18
809027,1831.78,23-01-18
890037,1838.96,24-01-18
890038,1819.29,25-01-18
971127,1828.88,26-01-18
971128,1837.49,29-01-18
1052923,1826.61,30-01-18
1134751,1826.86,31-01-18
1216604,1833.6,01-02-18
1298498,1827.35,02-02-18
1298499,1810.32,05-02-18
1380453,1788.43,06-02-18
1462440,1785.44,07-02-18
1544469,1786.66,08-02-18
1626533,1786.45,09-02-18
1870207,1799.45,12-02-18
1952318,1800.03,13-02-18
2034977,1792.09,14-02-18
2117783,1800.86,15-02-18
2200601,1805.89,16-02-18
2200602,1801.02,20-02-18
2200603,1809.67,19-02-18
2200604,1801.16,21-02-18
2283556,1788.63,22-02-18
2283557,1808.06,23-02-18
2531358,1834.18,26-02-18
2614422,1830.39,27-02-18
2697520,1830.13,28-02-18
2859870,1811.98,02-03-18
3021640,1808.89,05-03-18
3102225,1799.06,06-03-18
3182842,1781.64,07-03-18
3263480,1778.9,08-03-18
3344803,1775.37,09-03-18
3506830,1800.32,12-03-18
3587544,1809.9,13-03-18
3668160,1813.4,14-03-18
3748793,1816.08,15-03-18
3830094,1811.76,16-03-18
3910759,1799.79,19-03-18
3991446,1799.84,20-03-18
4072155,1801.43,21-03-18
4152886,1798.55,22-03-18
4234300,1794.21,23-03-18
4478611,1801.1,26-03-18
4559411,1802.58,27-03-18
4639917,1784.99,28-03-18
4720774,1766.92,29-03-18
4802310,1776.26,30-03-18
5048286,1782.28,02-04-18
5129849,1765.24,03-04-18
5211419,1724.98,04-04-18
5211420,1739.92,05-04-18
5455625,1751.27,09-04-18
5536586,1760.95,10-04-18
5617551,1763.22,11-04-18
5698521,1767.17,12-04-18
6023064,1755.53,17-04-18
6103379,1771.56,18-04-18
6183689,1794.94,19-04-18
6264013,1801.28,20-04-18
6264014,1790.14,23-04-18
6345027,1788.2,24-04-18
6345028,1779.52,25-04-18
6426606,1773.2,26-04-18
6508186,1778.02,27-04-18
6672049,1780.11,30-04-18
6833292,1791.13,02-05-18
6833293,1790.8,03-05-18
6914156,1779.87,04-05-18
7156188,1779.8,07-05-18
7236182,1760.25,08-05-18
7316183,1756.9,09-05-18
7396178,1746.89,10-05-18
7476840,1765.93,11-05-18
7718849,1773.1,14-05-18
7798851,1766.86,15-05-18
7878872,1750.62,16-05-18
7958783,1751.2,17-05-18
8039360,1754.17,18-05-18
8199881,1768.31,21-05-18
8279837,1760.71,22-05-18
8359676,1753.6,23-05-18
8439522,1732.51,24-05-18
8520035,1741.21,25-05-18
8761595,1734.54,28-05-18
8920692,1725.14,30-05-18
9000570,1726.97,31-05-18
9080463,1719.82,01-06-18
9321479,1721.29,04-06-18
9402048,1732.71,05-06-18
9482621,1738.7,06-06-18
9482622,1733.05,07-06-18
9563179,1722.04,08-06-18
9806863,1723.11,11-06-18
9888093,1727.29,12-06-18
9969330,1718.34,13-06-18
10050577,1709.86,14-06-18
10050578,1704.82,15-06-18
10295638,1679.68,18-06-18
10376886,1639.54,19-06-18
10458146,1664.26,20-06-18
10539414,1634.44,21-06-18
10620675,1634.98,22-06-18
10865789,1622.28,25-06-18
10947050,1623.98,26-06-18
11028309,1618.66,27-06-18
11109557,1599.54,28-06-18
11190799,1595.58,29-06-18
11436550,1607.27,02-07-18
11518463,1626.62,03-07-18
11600361,1629.2,04-07-18
11682231,1601.42,05-07-18
11764766,1614.76,06-07-18
11764767,1622.96,09-07-18
11846608,1643.6,10-07-18
11928443,1636.63,11-07-18
12010245,1640.93,12-07-18
12092705,1643.52,13-07-18
12340022,1627.69,16-07-18
12421767,1626.07,17-07-18
12421768,1635.85,18-07-18
12421769,1674.22,24-07-18
12421770,1675.75,23-07-18
12421771,1671.06,20-07-18
12421772,1646.89,19-07-18
12421773,1690.08,25-07-18
12585069,1701.87,26-07-18
13398163,1701.79,31-07-18
13398164,1722.01,01-08-18
13558228,1708.28,02-08-18
13719386,1712.09,03-08-18
14202274,1696.24,06-08-18
14361794,1707.26,07-08-18
14521292,1721.64,08-08-18
14521293,1722.48,09-08-18
14682075,1705.96,10-08-18
14682076,1680.96,16-08-18
14682077,1676.29,15-08-18
14682078,1695.35,14-08-18
14761821,1690.04,17-08-18
15001044,1701.42,20-08-18
15080090,1694.63,21-08-18
15080091,1698.3,22-08-18
15080092,1704.8,23-08-18
15159788,1703.82,24-08-18
15398819,1717.24,27-08-18
15477808,1718.15,28-08-18
15557467,1722.26,29-08-18
15637789,1720.43,30-08-18
15718775,1721.58,31-08-18
15962366,1721.21,03-09-18
16044005,1714.41,04-09-18
16125632,1686.37,05-09-18
16207261,1693.94,06-09-18
16288887,1689.49,07-09-18
16532365,1691.51,10-09-18
16532366,1679.39,12-09-18
16532367,1672.42,11-09-18
16613941,1717.96,13-09-18
16695505,1722.21,14-09-18
16938888,1718.39,17-09-18
17020459,1744.42,18-09-18
17020460,1749.8,19-09-18
17102032,1752.11,20-09-18
17183601,1756.12,21-09-18
17426971,1749.42,24-09-18
17508533,1747.99,25-09-18
17590087,1749.93,26-09-18
17671634,1752.95,27-09-18
17671635,1756.41,28-09-18
17671636,1760.47,01-10-18
17671637,1748.09,02-10-18
17752378,1741.96,03-10-18
17832333,1729.4,04-10-18
17897842,1720.52,05-10-18
17897843,1696.22,08-10-18
17897844,1696.92,09-10-18
17897845,1696.16,12-10-18
17897846,1682.89,11-10-18
17897847,1721.82,10-10-18
17979879,1697.87,16-10-18
17979880,1695.04,17-10-18
17979881,1682.91,18-10-18
18061901,1667.91,19-10-18
18061902,1658.56,22-10-18
18061903,1623.37,24-10-18
18143245,1644.33,25-10-18
18224591,1628.96,26-10-18
18468566,1636.88,29-10-18
18549867,1638.51,30-10-18
18631808,1669.09,31-10-18
18714399,1667.55,01-11-18
18796962,1681.84,02-11-18
