data,name,pointPlacement
"153,206,85,67,55,43,43,91,7",Bangkok,on
"8,7,1,0,2,1,2,7,0",Nonthaburi,on
"[3,2,0,0,2,4,0,1,1]",Pathumthani,on
"[1,1,3,0,0,0,0,2,0]",Ayutthaya,on
"[0,0,0,0,0,0,1,0,0]",Chainat,on
"[1,0,0,0,0,0,0,0,0]",Saraburi,on
"[4,2,8,0,1,1,1,0,0]",Chonburi,on
"[2,2,4,0,1,0,1,0,0]",Rayong,on
"[1,0,0,0,0,0,1,0,0]",Chachoengsao,on
"[0,0,1,0,0,0,0,1,0]",Prachinburi,on
"[0,0,0,0,0,1,0,0,0]",Buriram,on
"[0,1,2,0,0,0,0,0,0]",KhonKaen,on
"[0,1,0,0,0,0,0,0,0]",Udonthani,on
"[0,1,0,0,0,0,0,0,0]",Roiet,on
"[1,1,0,0,0,1,0,0,0]",Chiangmai,on
"[0,0,0,0,0,0,1,0,0]",Lamphun,on
"[0,0,0,0,0,0,1,0,0]",Lampang,on
"[0,1,0,0,0,0,0,0,0]",Chiangrai,on
"[0,1,4,0,1,1,0,0,0]",Nakhonpathom,on
"[0,4,5,0,1,1,0,0,0]",Samutsakhon,on
"[,0,0,0,0,0,1,0,0,0]",Krabi,on
"[0,2,0,0,0,0,0,0,0]",Suratthani,on
"[0,0,0,0,0,1,0,0,0]",Chumphon,on
"[0,0,2,0,0,3,0,0,0]",Songkhla,on
"[0,1,0,0,0,0,0,0,0]",Trang,on
"[0,0,1,0,0,1,0,0,0]",Others,on
