"id","symbol","company","market","industry","sector","address","zip","tel","fax","url","timestamp"
"1","2S","2S METAL PUBLIC COMPANY LIMITED","mai","Industrial","-","8/5 Moo 14, Tha-change, Bangklam District Songkhla","90110","0-7480-0111","0-7480-1286","html://www.ss.co.th","2018-01-10 17:05:39"
"2","A","AREEYA PROPERTY PUBLIC COMPANY LIMITED","SET","Property & Construction","Property Development","DYNASTY COMPLEX 2, 67/4 LADPRAO 71, WANG THONGLANG Bangkok","10310","0-2933-0333, 0-2539-4000","0-2955-9766","html://www.areeya.co.th","2018-01-10 17:05:39"
"3","AAV","ASIA AVIATION PUBLIC COMPANY LIMITED","SET","Services","Transportation & Logistics","222, Don Mueang International Airport, 3rd Fl., Central Office Bldg., Room no. 3200, Vibhavadee Rangsit Road, Don Mueang, Bangkok","10210","0-2562-5700","0-2562-5705","html://www.aavplc.com","2018-01-10 17:05:39"
"4","ABICO","ABICO HOLDINGS PUBLIC COMPANY LIMITED","mai","Agro & Food Industry","-","401/1 Moo 8, 5th floor ABICO Building, Phaholyothin Road, KhukhotSub-district, Lumlookka District Pathum Thani","12130","0-2080-7899","0-2080-7805","html://www.abicogroup.com","2018-01-10 17:05:39"
"5","ABPIF","AMATA B. GRIMM POWER POWER PLANT INFRASTRUCTURE FUND","SET","Resources","Energy & Utilities","400/22 KASIKORNBANK Building, 6th and 12th floor, Phahon Yothin Road, Samsen Nai Sub-District, Phaya Thai District Bangkok","10400","0-2673-3999","0-2673-3988","html://www.kasikornasset.com","2018-01-10 17:05:39"
"6","ACAP","ASIA CAPITAL GROUP PUBLIC COMPANY LIMITED","mai","Financials","-","349 SJ Infinite I Business Complex 24th Floor, Unit 2401-2405, Vibhavadi Rangsit Road, Chompol, Chatuchak Bangkok","10900","0-2793-3888","0-2793-3944","html://www.acap.co.th","2018-01-10 17:05:39"
"7","ACC","ADVANCED CONNECTION CORPORATION PUBLIC COMPANY LIMITED","SET","Consumer Products","Home & Office Products","32 Srinagarindra Road (The Corner of Soi Srinagarindra 40) Nongbon, Praves Bangkok","10250","0-2748-2400-1","0-2748-2402","http://acc-plc.com","2018-01-10 17:05:39"
"8","ADAM","ADAMAS INCORPORATION PUBLIC COMPANY LIMITED","mai","Services","-","No. 65/113, 12A Floor, Chamnan Phenjiti Business Center Building, Rama 9 Road, Huaykwang, Huaykwang Bangkok","10310","0-2612-2242","0-2612-2243","html://www.adamas.co.th","2018-01-10 17:05:39"
"9","ADB","APPLIED DB PUBLIC COMPANY LIMITED","mai","Industrial","-","252 Moo 4, Sukhumvit Road, Praksa, Muang Samutprakarn Samut Prakarn","10280","0-2709-4040-9","0-2323-9195","html://www.adb.co.th","2018-01-10 17:05:39"
"10","ADVANC","ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED","SET","Technology","Information & Communication Technology","AIS TOWER 1, 414 PHAHOLYOTHIN ROAD, PHAYA THAI Bangkok","10400","0-2029-5000","0-2029-5165","http://investor.ais.co.th","2018-01-10 17:05:39"
"11","AEC","AEC SECURITIES PUBLIC COMPANY LIMITED","SET","Financials","Finance & Securities","17th fl., Athenee Tower, 63 Wittayu Road, Lumpini, Pathumwan Bangkok","10330","0-2659-3456","0-2659-3457","html://www.aecs.com","2018-01-10 17:05:39"
"12","AEONTS","AEON THANA SINSAP (THAILAND) PUBLIC COMPANY LIMITED","SET","Financials","Finance & Securities","EXCHANGE TOWER, FLOOR 27, 388 SUKHUMVIT ROAD, KHLONG TOEI Bangkok","10110","0-2665-0123, 0-2689-7197","0-2689-7007","html://www.aeon.co.th","2018-01-10 17:05:39"
"13","AF","AIRA FACTORING PUBLIC COMPANY LIMITED","mai","Financials","-","No. 319 Chamchuri Square, 20 Floors, Phayathai Road, Pathumwan Sub-District, Pathumwan District Bangkok","10330","0-2657-6222","0-2657-6244, 0-2657-6245","html://www.airafactoring.co.th","2018-01-10 17:05:39"
"14","AFC","ASIA FIBER PUBLIC COMPANY LIMITED","SET","Consumer Products","Fashion","WALL STREET TOWER,FLOOR 27,33/133-136 SURAWONG ROAD, BANG RAK Bangkok","10500","0-2632-7071-85","0-2236-1982","html://www.asiafiber.com","2018-01-10 17:05:39"
"15","AGE","ASIA GREEN ENERGY PUBLIC COMPANY LIMITED","mai","Resources","-","273/1 Rama II Road, Samaedam, Bangkhuntien Bangkok","10150","0-2894-0088","0-2894-0044, 0-2894-4267","html://www.agecoal.com","2018-01-10 17:05:39"
"16","AH","AAPICO HITECH PUBLIC COMPANY LIMITED","SET","Industrials","Automotive","99 MOO 1 HITECH INDUSTRIAL ESTATE TAMBON BAN LANE, AMPHUR BANG PA-IN Ayutthya","13160","0-3535-0880","0-3535-0881","html://www.aapico.com","2018-01-10 17:05:39"
